FamilyMembers,TotalPower,Season,HouseType,Sqft,Units
7,1410,Rainy,Flat,2715,949.19
3,6445,Rainy,Flat,9825,9277.39
6,16075,Winter,Flat,8232,4119.23
8,15195,Rainy,Flat,6107,5119.18
8,12405,Rainy,Flat,4056,7055.19
7,7610,Summer,Flat,1213,2729.08
7,14020,Winter,Flat,3524,9501.44
8,16525,Rainy,Flat,1827,3672.23
6,25650,Rainy,House,7317,19603.72
4,8500,Winter,House,3699,6637.16
5,2320,Summer,Flat,7386,3902.17
1,22250,Summer,House,4568,43815.69
1,21800,Rainy,Flat,5739,13134.79
7,14030,Summer,House,541,1422.26
8,1760,Rainy,House,6960,2886.86
8,3360,Winter,Flat,8829,3331.79
3,13925,Winter,Flat,3672,5658.78
4,26290,Summer,House,9054,71523.03
5,7175,Summer,Flat,6263,8776.96
5,4815,Rainy,Flat,6982,3219.84
4,14160,Summer,House,9195,30779.97
1,5910,Rainy,Flat,6302,3913.82
7,3900,Rainy,Flat,9520,2177.7
5,9750,Summer,House,4983,13535.53
7,1095,Rainy,Flat,2386,624.74
2,11590,Summer,Flat,9667,29321.69
5,6350,Rainy,Flat,2576,3169.97
4,7060,Summer,House,4117,7394.79
2,15905,Summer,House,5393,27576.25
1,9660,Rainy,Flat,844,1864.19
3,9960,Winter,House,8793,15758.56
4,19360,Summer,Flat,2378,10601.95
8,1660,Summer,Flat,6144,2784.68
5,18980,Rainy,House,7030,21591.31
4,18900,Winter,Flat,4753,15807.5
5,6710,Winter,House,7918,6358.41
4,1200,Winter,House,7843,1860.37
3,20235,Rainy,House,8813,62117.23
8,11400,Rainy,House,4935,11363.63
6,4110,Summer,House,7460,9280.21
5,15700,Summer,Flat,753,2645.41
7,16060,Summer,Flat,2655,13075.57
2,14810,Rainy,Flat,8333,21117.2
8,23370,Summer,House,6030,16977.83
4,8250,Rainy,House,4431,6413.98
6,13565,Winter,Flat,9544,29031.79
1,1990,Summer,Flat,5241,2932.04
3,16200,Winter,Flat,2555,6865.61
4,15190,Winter,House,6505,15601.32
4,14200,Rainy,House,6747,8026.41
7,11590,Winter,Flat,1150,1239.03
1,8975,Rainy,House,4965,5430.87
3,12400,Summer,Flat,5402,10728.9
1,12580,Summer,Flat,5154,11926.59
2,11610,Summer,House,6159,14771.02
4,7565,Summer,Flat,3978,6314.4
4,3240,Rainy,Flat,1026,731.42
3,16040,Rainy,Flat,5430,10038.37
8,11360,Winter,Flat,694,1535.06
4,8700,Summer,Flat,3813,4146.43
4,5640,Rainy,House,9621,6346.61
2,9005,Rainy,Flat,1646,2520.17
2,7180,Summer,House,5915,10445.43
3,10620,Winter,Flat,2584,2762.96
8,17800,Rainy,House,718,3210.32
5,3450,Summer,Flat,3808,2202.11
2,9430,Rainy,Flat,5277,4662.38
1,8270,Winter,Flat,612,671.67
8,11205,Winter,Flat,681,203.19
1,1740,Summer,Flat,6628,1603.48
3,18490,Rainy,Flat,3537,16370.38
3,22550,Summer,House,6759,60005.21
8,10590,Rainy,House,8882,13877.54
5,13305,Summer,Flat,1040,2212.58
6,17300,Rainy,Flat,5077,15495.46
8,11370,Rainy,Flat,5261,7813.89
5,15010,Summer,Flat,5029,13937.22
2,8180,Rainy,Flat,1684,2214.03
8,19520,Winter,Flat,3545,4801.05
5,14550,Rainy,Flat,5777,15735.02
5,1160,Rainy,Flat,6090,1557.48
5,14520,Winter,House,4917,15910.6
8,15220,Summer,House,9829,40383.95
3,6855,Winter,House,3203,4949.11
7,14530,Summer,Flat,6124,8521.87
1,6250,Summer,Flat,6295,11979.61
2,15590,Winter,House,3450,9887.39
2,4360,Winter,House,4080,1930.92
7,30720,Rainy,House,8021,44003.48
7,11810,Winter,Flat,9511,18802.35
4,18540,Summer,House,1742,5670.88
1,5020,Summer,House,1655,1319.02
2,13530,Winter,House,2706,8845.98
5,7250,Summer,House,1080,1179.83
1,6965,Summer,Flat,8485,13030.98
1,1710,Rainy,House,8781,3621.29
8,15215,Winter,House,5106,8144.9
1,9590,Rainy,House,1070,2089.58
3,11770,Summer,House,783,1888.84
3,7070,Summer,Flat,4953,6066.9
8,4950,Winter,Flat,472,384.25
3,10500,Rainy,House,7284,28805.76
7,20300,Winter,House,7471,43734.32
3,12770,Summer,Flat,8896,5231.9
7,14480,Winter,Flat,1563,4514.45
6,17360,Rainy,House,6020,24280.91
7,11000,Summer,House,9544,34931.19
1,10410,Rainy,Flat,9264,12896.38
1,3530,Rainy,Flat,5331,1830.46
5,16000,Winter,House,6158,12315.16
8,15420,Winter,Flat,1502,3551.02
3,16160,Rainy,Flat,7661,25101.84
6,20740,Rainy,Flat,6754,20222.37
1,13700,Winter,House,4660,10756.66
5,11890,Winter,Flat,4962,5396.85
6,18230,Rainy,House,6505,25491.74
3,12380,Rainy,House,5053,13915.83
3,17500,Summer,Flat,4726,17905.99
3,26770,Rainy,Flat,2766,12222.61
3,4590,Summer,Flat,4309,5794.71
6,6840,Winter,Flat,8571,6436.09
8,4450,Winter,House,5226,5875.32
4,6330,Summer,Flat,9114,14418.36
3,6560,Winter,House,9654,10856.25
7,7070,Summer,Flat,6967,11466.47
4,2155,Summer,Flat,6742,4983.83
8,8035,Rainy,Flat,7191,3819.55
4,4190,Winter,Flat,806,205.72
7,1845,Rainy,House,2447,638.99
7,6445,Summer,House,5084,4876.75
8,11490,Summer,Flat,8015,18830.54
6,29695,Winter,Flat,7867,37845.35
4,12515,Summer,House,3379,3705.08
3,4635,Rainy,House,599,417.97
5,16320,Winter,Flat,3802,9093.22
2,340,Rainy,Flat,3930,149.49
7,10800,Rainy,Flat,4148,9105.54
1,2770,Rainy,Flat,1758,1526.19
6,8685,Rainy,House,6441,14520.04
2,18995,Rainy,House,5057,25747.81
8,18600,Summer,Flat,4003,11622.6
7,13990,Rainy,House,7754,16633.99
3,8930,Rainy,House,5457,14235.77
4,15000,Winter,House,5268,10562.23
4,10735,Summer,House,8579,6261.87
5,8640,Winter,Flat,2961,4174.21
4,5000,Summer,Flat,6588,5311.07
6,9850,Winter,House,8567,19499.75
6,9750,Rainy,Flat,2535,2433.2
7,10105,Rainy,House,4469,8456.51
4,10590,Summer,Flat,7866,20108.23
5,5165,Summer,Flat,957,1036.37
6,9470,Summer,House,3835,8534.21
8,22990,Summer,Flat,3709,8543.11
3,3145,Summer,House,2370,3105.44
3,4270,Rainy,Flat,2217,874.94
6,10510,Summer,House,6976,16349.46
4,18220,Summer,Flat,2629,4230.73
8,2665,Winter,Flat,9360,2138.03
6,3575,Summer,Flat,5914,4247.89
2,8390,Winter,House,9048,16820.02
1,3330,Winter,Flat,1495,943.5
4,12870,Winter,Flat,4342,7476.26
4,15270,Rainy,House,5067,7654.21
6,6825,Winter,House,6923,17287.96
7,15100,Rainy,Flat,9938,23079.61
8,5540,Rainy,House,1321,1586.2
1,6615,Summer,Flat,4910,11413.22
5,3020,Summer,House,4943,4031.82
6,14940,Summer,House,1959,6488.98
2,19560,Summer,House,4165,16763.95
7,2710,Summer,Flat,7421,3285.94
2,8780,Summer,House,3701,5799.19
6,14855,Summer,Flat,1732,5145.02
2,10965,Rainy,House,4453,12694.9
4,11005,Summer,Flat,5158,9900.18
1,1160,Winter,House,6129,1082.34
8,19360,Rainy,House,9871,38510.67
5,9555,Summer,Flat,3988,13344.17
7,13530,Rainy,House,6721,22713.61
3,18190,Summer,Flat,9344,18447.81
5,20625,Summer,Flat,4209,18349.6
6,10455,Summer,Flat,3656,11264.32
6,3100,Winter,Flat,4802,3004.05
4,1500,Summer,House,4584,2072.64
3,14160,Summer,House,2795,9503.49
1,910,Winter,Flat,3125,553.94
7,18650,Rainy,House,8989,33046.7
8,24945,Winter,Flat,9759,48564.95
8,10480,Rainy,Flat,2473,4787.33
5,23560,Winter,Flat,4457,13827.84
7,9750,Winter,Flat,5062,6161.0
2,10755,Winter,Flat,5822,8584.97
8,10350,Summer,Flat,4939,6262.04
1,3780,Summer,House,9250,15834.26
7,7150,Rainy,Flat,9380,9669.1
6,9460,Summer,Flat,1214,2019.18
3,10575,Rainy,House,2473,2432.32
2,5290,Summer,Flat,7082,4858.55
6,11150,Winter,House,1259,1729.74
2,17600,Summer,House,9982,41420.41
3,12700,Rainy,Flat,7970,16057.9
1,7470,Rainy,House,4136,7652.84
5,1040,Winter,Flat,8769,976.61
2,7450,Summer,House,4617,12933.49
7,4500,Rainy,House,9805,10042.45
6,25360,Winter,Flat,7003,18426.95
8,5285,Winter,Flat,2533,1297.34
8,15295,Rainy,House,9850,29181.7
2,13795,Winter,Flat,8775,11849.27
6,11940,Summer,Flat,1045,3239.35
5,6365,Summer,House,7688,21707.33
6,33550,Winter,Flat,5041,16675.75
1,6980,Rainy,Flat,2783,5015.05
8,14740,Summer,House,5833,8554.93
3,10560,Winter,Flat,5709,2876.74
2,2700,Rainy,House,7621,4887.68
5,12600,Summer,House,8919,15598.58
3,10070,Rainy,Flat,1909,1935.75
1,15630,Summer,House,9984,33382.1
4,18370,Winter,House,8132,14679.53
2,12680,Summer,House,2574,9537.96
3,5200,Winter,House,2862,4715.54
2,14450,Winter,Flat,9680,20366.69
1,17550,Rainy,House,3314,11004.17
3,15590,Summer,Flat,4303,14991.42
2,10570,Summer,Flat,6957,15857.09
6,13000,Winter,House,3560,11344.63
1,19670,Winter,House,9177,37787.18
6,24400,Rainy,Flat,8350,30097.25
7,17010,Rainy,House,5454,16914.99
7,16990,Rainy,Flat,7818,24614.0
7,4710,Rainy,House,7339,7480.02
3,1075,Rainy,Flat,9001,2394.55
1,1220,Rainy,House,9375,3866.22
7,13780,Winter,Flat,2998,7312.22
8,11380,Winter,House,4459,6313.03
2,19780,Rainy,House,4613,12178.57
