FamilyMembers,HouseType,Sqft,Season,Units
6,Flat,2244,Summer,11765.48
6,House,709,Rainy,1102.83
5,Flat,1854,Winter,1926.48
4,Flat,1748,Winter,489.45
1,House,1357,Summer,1696.45
2,Flat,1516,Winter,367.88
5,House,759,Winter,295.92
5,House,2431,Summer,360.28
6,Flat,828,Rainy,2640.55
2,House,2058,Summer,431.14
1,House,2350,Summer,4713.31
3,Flat,654,Rainy,2728.99
4,Flat,516,Winter,1808.84
5,House,1749,Summer,2926.04
2,House,2200,Rainy,853.86
2,House,1685,Rainy,2332.4
6,Flat,1380,Winter,2517.07
2,Flat,1421,Rainy,787.43
2,Flat,1794,Summer,5277.92
6,House,1833,Summer,12390.06
1,Flat,803,Winter,251.12
6,Flat,1861,Rainy,4193.47
4,House,1866,Summer,3660.63
3,Flat,990,Winter,544.86
6,Flat,650,Rainy,3187.88
2,Flat,2389,Winter,731.11
1,Flat,2419,Winter,356.18
4,House,1421,Winter,333.95
6,House,429,Summer,2206.67
2,Flat,460,Rainy,7100.54
6,Flat,955,Winter,999.98
2,Flat,1105,Winter,1362.15
3,House,1165,Rainy,3939.05
3,Flat,604,Summer,1547.33
2,Flat,566,Rainy,527.01
5,Flat,2395,Winter,714.25
1,House,682,Rainy,2635.83
1,House,1295,Winter,1683.8
6,Flat,1894,Rainy,1935.76
5,House,2016,Winter,437.04
4,House,1345,Rainy,211.17
2,Flat,2009,Rainy,182.4
2,Flat,1851,Winter,2679.73
2,Flat,960,Summer,412.55
6,Flat,580,Summer,5079.82
1,House,1154,Summer,4818.71
6,House,1067,Rainy,2547.36
6,House,1432,Winter,592.72
6,House,2317,Rainy,4103.19
5,Flat,351,Rainy,3168.49
4,Flat,1183,Winter,1515.94
1,House,2063,Rainy,383.18
4,Flat,2039,Rainy,6577.27
6,Flat,522,Winter,861.77
1,House,2100,Winter,1338.57
4,Flat,1319,Rainy,559.81
4,House,1191,Winter,538.09
2,House,1274,Rainy,867.78
4,Flat,927,Summer,3041.96
5,Flat,2356,Winter,361.72
4,Flat,1220,Winter,2474.08
4,Flat,948,Rainy,1487.89
2,House,2168,Winter,1332.65
3,House,2242,Rainy,291.35
4,House,2355,Rainy,465.2
5,House,2008,Summer,6249.45
4,Flat,1640,Rainy,6086.33
2,House,1639,Rainy,1830.68
4,Flat,931,Rainy,615.41
1,House,1062,Rainy,2379.73
6,Flat,1221,Winter,281.13
4,House,1685,Rainy,1333.43
6,House,1367,Rainy,1967.11
4,House,2327,Rainy,1144.36
1,Flat,1897,Summer,2778.53
4,Flat,801,Rainy,6055.22
3,Flat,595,Winter,645.94
3,Flat,1717,Summer,3732.15
5,Flat,436,Summer,741.84
3,House,1540,Winter,2626.74
4,House,629,Rainy,1328.84
4,Flat,1580,Winter,1418.92
4,House,1841,Summer,9478.24
3,Flat,1179,Summer,250.91
6,House,1697,Rainy,1396.53
2,Flat,482,Winter,1216.49
1,House,1836,Winter,294.77
2,House,1972,Winter,2354.32
5,Flat,2018,Rainy,787.07
2,Flat,2001,Winter,1685.19
6,House,1508,Winter,1811.94
4,House,1819,Summer,319.44
6,House,511,Rainy,1520.24
6,Flat,2183,Winter,806.87
1,House,1849,Summer,1536.58
1,House,916,Rainy,5495.65
5,Flat,2309,Summer,8443.48
1,House,1562,Summer,1202.57
6,Flat,518,Winter,204.24
5,Flat,1100,Rainy,3620.79
6,House,1564,Summer,6641.08
3,Flat,2243,Summer,1688.5
3,Flat,615,Rainy,4214.22
5,House,618,Summer,1868.36
4,House,2421,Rainy,5105.25
6,House,2217,Winter,877.58
2,House,1283,Rainy,663.09
1,Flat,1360,Rainy,1613.91
1,Flat,1223,Winter,637.77
4,Flat,1789,Winter,2314.19
1,Flat,470,Summer,5919.44
5,Flat,1877,Rainy,3037.11
6,Flat,1050,Summer,292.27
6,Flat,2227,Summer,1081.65
2,Flat,1648,Summer,2536.42
4,Flat,1189,Rainy,1195.47
